332.4459 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
332.4461 	EXP 	window1: mouseVisible = True
332.5030 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
332.5032 	EXP 	window1: mouseVisible = True
332.5496 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0016 	DATA 	Mouse: Right button down, pos=(254,445)
0.0025 	DATA 	Mouse:  Right button up, pos=(254,445)
0.0425 	INFO 	Keyboard events cleared
0.0421 	EXP 	text: autoDraw = True
2.4430 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
2.4434 	EXP 	New trial (rep=0, index=0): None
2.4450 	DATA 	Keypress: space
2.4582 	EXP 	text: autoDraw = False
2.4582 	EXP 	grating: ori = 0.0
2.4582 	EXP 	fixation: autoDraw = True
3.3148 	INFO 	Keyboard events cleared
3.3144 	EXP 	grating: autoDraw = True
3.3144 	EXP 	grating: tex = 'sin'
3.4588 	EXP 	fixation: autoDraw = False
3.6255 	EXP 	grating: autoDraw = False
3.8147 	EXP 	New trial (rep=1, index=0): None
3.8161 	DATA 	Keypress: up
3.8249 	EXP 	fixation: autoDraw = False
3.8249 	EXP 	grating: autoDraw = False
3.8249 	EXP 	grating: ori = 1.0
3.8249 	EXP 	fixation: autoDraw = True
4.8257 	INFO 	Keyboard events cleared
4.8253 	EXP 	fixation: autoDraw = False
4.8253 	EXP 	grating: autoDraw = True
5.1252 	EXP 	grating: autoDraw = False
5.5123 	EXP 	New trial (rep=2, index=0): None
5.5134 	DATA 	Keypress: up
5.5252 	EXP 	fixation: autoDraw = False
5.5252 	EXP 	grating: autoDraw = False
5.5252 	EXP 	grating: ori = 0.0
5.5252 	EXP 	fixation: autoDraw = True
6.5256 	INFO 	Keyboard events cleared
6.5252 	EXP 	fixation: autoDraw = False
6.5252 	EXP 	grating: autoDraw = True
6.8251 	EXP 	grating: autoDraw = False
7.3290 	EXP 	New trial (rep=3, index=0): None
7.3301 	DATA 	Keypress: down
7.3416 	EXP 	fixation: autoDraw = False
7.3416 	EXP 	grating: autoDraw = False
7.3416 	EXP 	grating: ori = -5.0
7.3416 	EXP 	fixation: autoDraw = True
8.3419 	INFO 	Keyboard events cleared
8.3415 	EXP 	fixation: autoDraw = False
8.3415 	EXP 	grating: autoDraw = True
8.6415 	EXP 	grating: autoDraw = False
8.7952 	EXP 	New trial (rep=4, index=0): None
8.7963 	DATA 	Keypress: down
8.8081 	EXP 	fixation: autoDraw = False
8.8081 	EXP 	grating: autoDraw = False
8.8081 	EXP 	grating: ori = 1.0
8.8081 	EXP 	fixation: autoDraw = True
9.8085 	INFO 	Keyboard events cleared
9.8080 	EXP 	fixation: autoDraw = False
9.8080 	EXP 	grating: autoDraw = True
10.1079 	EXP 	grating: autoDraw = False
10.5784 	EXP 	New trial (rep=5, index=0): None
10.5823 	DATA 	Keypress: down
10.5913 	EXP 	fixation: autoDraw = False
10.5913 	EXP 	grating: autoDraw = False
10.5913 	EXP 	grating: ori = 0.0
10.5913 	EXP 	fixation: autoDraw = True
11.5917 	INFO 	Keyboard events cleared
11.5912 	EXP 	fixation: autoDraw = False
11.5912 	EXP 	grating: autoDraw = True
11.8911 	EXP 	grating: autoDraw = False
12.0947 	EXP 	New trial (rep=6, index=0): None
12.0959 	DATA 	Keypress: up
12.1078 	EXP 	fixation: autoDraw = False
12.1078 	EXP 	grating: autoDraw = False
12.1078 	EXP 	grating: ori = 0.0
12.1078 	EXP 	fixation: autoDraw = True
13.1079 	INFO 	Keyboard events cleared
13.1075 	EXP 	fixation: autoDraw = False
13.1075 	EXP 	grating: autoDraw = True
13.4074 	EXP 	grating: autoDraw = False
13.7112 	EXP 	New trial (rep=7, index=0): None
13.7123 	DATA 	Keypress: up
13.7243 	EXP 	fixation: autoDraw = False
13.7243 	EXP 	grating: autoDraw = False
13.7243 	EXP 	grating: ori = 0.0
13.7243 	EXP 	fixation: autoDraw = True
14.7245 	INFO 	Keyboard events cleared
14.7240 	EXP 	fixation: autoDraw = False
14.7240 	EXP 	grating: autoDraw = True
15.0240 	EXP 	grating: autoDraw = False
15.4118 	EXP 	New trial (rep=8, index=0): None
15.4129 	DATA 	Keypress: up
15.4240 	EXP 	fixation: autoDraw = False
15.4240 	EXP 	grating: autoDraw = False
15.4240 	EXP 	grating: ori = 1.0
15.4240 	EXP 	fixation: autoDraw = True
16.4242 	INFO 	Keyboard events cleared
16.4238 	EXP 	fixation: autoDraw = False
16.4238 	EXP 	grating: autoDraw = True
16.7239 	EXP 	grating: autoDraw = False
16.8444 	EXP 	New trial (rep=9, index=0): None
16.8456 	DATA 	Keypress: down
16.8569 	EXP 	fixation: autoDraw = False
16.8569 	EXP 	grating: autoDraw = False
16.8569 	EXP 	grating: ori = 0.0
16.8569 	EXP 	fixation: autoDraw = True
17.8575 	INFO 	Keyboard events cleared
17.8570 	EXP 	fixation: autoDraw = False
17.8570 	EXP 	grating: autoDraw = True
18.1570 	EXP 	grating: autoDraw = False
18.4772 	EXP 	New trial (rep=10, index=0): None
18.4782 	DATA 	Keypress: up
18.4902 	EXP 	fixation: autoDraw = False
18.4902 	EXP 	grating: autoDraw = False
18.4902 	EXP 	grating: ori = 2.0
18.4902 	EXP 	fixation: autoDraw = True
19.4907 	INFO 	Keyboard events cleared
19.4903 	EXP 	fixation: autoDraw = False
19.4903 	EXP 	grating: autoDraw = True
19.7901 	EXP 	grating: autoDraw = False
20.1770 	EXP 	New trial (rep=11, index=0): None
20.1781 	DATA 	Keypress: down
